Timestamp,Team Name,Team Captain Discord Handle,Choose your map preferences [The Reef],Choose your map preferences [Musselforge Fitness],Choose your map preferences [Starfish Mainstage],Choose your map preferences [Humpback Pump Track],Choose your map preferences [Inkblot Art Academy],Choose your map preferences [Moray Towers],Choose your map preferences [Port Mackerel],Choose your map preferences [Sturgeon Shipyard],Choose your map preferences [Manta Maria],Choose your map preferences [Kelp Dome],Choose your map preferences [Snapper Canal],Choose your map preferences [Blackbelly Skatepark],Choose your map preferences [MakoMart],Choose your map preferences [Walleye Warehouse],Choose your map preferences [Shellendorf Institute],Choose your map preferences [Arowana Mall],Choose your map preferences [Goby Arena],Choose your map preferences [Piranha Pit],Strike a ranked mode (optional),Do you prefer to play Splat Zones only?,Would you like Turf War to be included in your map lists along other modes?,Team Captain's Nintendo Switch Friend Code,Choose your map preferences [Camp Triggerfish]
4/30/2018 4:25,Chīmuinku,Ant#9115,Neutral,Neutral,Neutral,Preferred,Preferred,Neutral,Preferred,Not preferred,Not preferred,Neutral,Preferred,Preferred,Not preferred,Preferred,Not preferred,Preferred,Preferred,Preferred,Clam Blitz,No,No,2627-3242-7131,Preferred
4/30/2018 6:24,Seafood Sorbet,Primopolitan#2917,Preferred,Neutral,Not preferred,Neutral,Preferred,Not preferred,Not preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Preferred,Not preferred,Not preferred,Neutral,Neutral,Neutral,Clam Blitz,No,No,6334-7665-4311,Not preferred
4/30/2018 6:35,Nitro,Flurry#6544,Neutral,Neutral,Neutral,Neutral,Neutral,Not preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Not preferred,Neutral,Neutral,Not preferred,Neutral,Neutral,Not preferred,,No,No,0999-0377-5580,Neutral
4/30/2018 9:12,Tekkadan,Grayguard 🔰#8686,Preferred,Neutral,Neutral,Neutral,Preferred,Not preferred,Neutral,Neutral,Not preferred,Preferred,Not preferred,Not preferred,Neutral,Preferred,Not preferred,Preferred,Not preferred,Not preferred,Clam Blitz,No,No,6592-5090-4531,Neutral
4/30/2018 16:42,Oblivion,Mario27#1122,Preferred,Neutral,Preferred,Preferred,Preferred,Neutral,Not preferred,Neutral,Neutral,Preferred,Neutral,Not preferred,Neutral,Preferred,Not preferred,Neutral,Not preferred,Neutral,Clam Blitz,No,No,4466-8268-3207,Neutral
4/30/2018 16:49,Konton Knights I,Denisu#3572,Preferred,Neutral,Neutral,Not preferred,Preferred,Not preferred,Not preferred,Preferred,Neutral,Preferred,Not preferred,Not preferred,Neutral,Preferred,Neutral,Preferred,Not preferred,Neutral,Clam Blitz,No,No,1131-7768-1128,Neutral
4/30/2018 19:18,Red Horizon,Tutal G8r#5372,Neutral,Neutral,Neutral,Neutral,Preferred,Neutral,Preferred,Preferred,Preferred,Preferred,Preferred,Neutral,Preferred,Preferred,Preferred,Neutral,Neutral,Preferred,Clam Blitz,No,No,6782-2192-5325,Neutral
4/30/2018 19:39,Endless Oceans,WrongShoe#9733,Not preferred,Neutral,Neutral,Preferred,Neutral,Not preferred,Not preferred,Preferred,Neutral,Neutral,Neutral,Not preferred,Neutral,Preferred,Neutral,Neutral,Preferred,Neutral,Tower Control,No,Yes,6987-7432-8878,Preferred
4/30/2018 19:39,☆All Star Squad☆,Absynthex☆#2976,Neutral,Preferred,Neutral,Preferred,Neutral,Preferred,Preferred,Preferred,Preferred,Neutral,Neutral,Neutral,Preferred,Preferred,Preferred,Preferred,Preferred,Neutral,Clam Blitz,No,No,2775-1411-2715,Preferred
5/1/2018 3:02,Team KRYPTIC,Yuma#7833,Not preferred,Preferred,Neutral,Preferred,Preferred,Not preferred,Neutral,Not preferred,Neutral,Preferred,Preferred,Preferred,Preferred,Preferred,Not preferred,Preferred,Neutral,Neutral,Clam Blitz,Yes,No,5223-5119-4620,Neutral
5/1/2018 3:48,All The Way NA,Søul#9588,Neutral,Preferred,Neutral,Neutral,Neutral,Not preferred,Neutral,Preferred,Neutral,Preferred,Not preferred,Neutral,Neutral,Preferred,Neutral,Neutral,Not preferred,Preferred,Clam Blitz,No,No,7476-7442-6897,Neutral
5/1/2018 4:52,ıиκΩOmega,Cheesy Cat (Kai)#9951,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Not preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,No,No,2699-9903-2194,Neutral
5/1/2018 5:25,Not Your Average,Edgar#5440,Preferred,Neutral,Neutral,Preferred,Neutral,Preferred,Neutral,Neutral,Not preferred,Neutral,Not preferred,Not preferred,Neutral,Preferred,Not preferred,Preferred,Neutral,Neutral,,No,No,2153-3042-0068,Preferred
5/1/2018 5:54,Mörder Squid,MS√Edward∞ #9909,Neutral,Neutral,Neutral,Neutral,Preferred,Preferred,Preferred,Neutral,Preferred,Neutral,Neutral,Neutral,Neutral,Preferred,Not preferred,Neutral,Neutral,Neutral,Clam Blitz,No,Yes,7565-1132-0044,Not preferred
5/1/2018 20:57,Hadès Extrion,HE⭐Adrien#5334,Neutral,Preferred,Preferred,Not preferred,Neutral,Neutral,Preferred,Preferred,Neutral,Not preferred,Not preferred,Preferred,Neutral,Preferred,Not preferred,Neutral,Not preferred,Preferred,Clam Blitz,No,No,2626-2622-0517,Neutral
5/2/2018 10:05,Stay Fresh,∴ Zvehee#5357,Preferred,Neutral,Neutral,Preferred,Neutral,Not preferred,Preferred,Neutral,Neutral,Preferred,Not preferred,Neutral,Not preferred,Preferred,Neutral,Neutral,Not preferred,Neutral,Clam Blitz,No,No,6281-5546-5030,Neutral
